sample_id,circuit,fault,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17
23,RC,normal,4.336994,3.1008345560277384,2.851148921183324,1.2190671733300453,0.06731155778894472,0.08879396984924623,-0.6850067754263706,-0.6850950607256872,52.368421052631575,354886.88935616595,129.1826521383172,238.54581021804472,0.6174205861654914,1923.0349887711482,0.005,1.398653788725774,4.268639173033489
24,RC,normal,4.280049,3.0389077046440076,2.7894077619726483,1.2058873806419292,0.0677889447236181,0.0892713567839196,-0.6583754008656554,-0.7244106358166955,52.368421052631575,340317.4380947072,129.605567879024,238.81196516836923,0.6268039573514099,1846.9920074689421,0.005,1.4084169102797368,4.2090483654746755
25,RC,normal,4.223246,2.979016801629585,2.7299769777841614,1.1923786333039592,0.06826633165829146,0.0892713567839196,-0.6336982166725309,-0.75944175127922,52.368421052631575,326548.57030764356,130.005914359057,239.0634024857507,0.6356658330338527,1774.9082208782722,0.005,1.4176643776194195,4.149832719872064
26,RC,normal,4.166747,2.921099173813791,2.67275768504952,1.1786376628397484,0.06874371859296483,0.08974874371859297,-0.6107712387492026,-0.7907826991266402,52.368421052631575,313531.28210810944,130.38515184908417,239.3010689804277,0.6440459399900601,1706.5640766511224,0.005,1.4264312000608625,4.091142124910269
27,RC,normal,4.110688,2.865089639351786,2.6176528198083666,1.164745618781309,0.06969849246231156,0.08974874371859297,-0.5894176909794736,-0.8189289355952463,52.368421052631575,301219.04081712564,130.7447082136059,239.52594437878085,0.6519802805986313,1641.7477283041894,0.005,1.4347502233577671,4.033098329949475
28,RC,normal,4.055181,2.8109217981432053,2.5645678674166033,1.1507706151492068,0.06969849246231156,0.09022613065326633,-0.5694833643963296,-0.844296321023144,52.368421052631575,289567.8784580459,131.08588747616204,239.73889728126318,0.6595016804855373,1580.256271055326,0.005,1.4426516606327178,3.9758004912713973
29,RC,normal,4.000319,2.7585288383143163,2.513411253807865,1.1367696429108716,0.07017587939698493,0.09022613065326633,-0.5508332664194495,-0.8672358803704272,52.368421052631575,278536.3776879249,131.4099349003445,239.94074994109974,0.6666400469594226,1521.896270362346,0.005,1.4501639223190133,3.919327544687447
30,RC,normal,3.946176,2.707844477714078,2.4640949091146154,1.12279027176141,0.0706532663316583,0.09022613065326633,-0.5333489393467291,-0.8880450146174894,52.368421052631575,268085.6819352716,131.7179804996622,240.13227403120274,0.6734225842131424,1466.4843430973256,0.005,1.457312645714167,3.8637413980454687
31,RC,normal,3.892812,2.6588032874542287,2.416534221351361,1.1088720748648984,0.07113065326633167,0.09070351758793971,-0.516925698280712,-0.9069775996134686,52.368421052631575,258179.37120076315,132.01108179126152,240.31417082574177,0.6798741474972461,1413.8469842754828,0.005,1.464121854508206,3.8090897344800156
32,RC,normal,3.840275,2.6113412808026095,2.37064831995499,1.095047865583234,0.07160804020100503,0.09070351758793971,-0.5014710171500456,-0.9242508512759975,52.368421052631575,248783.40302121764,132.29024084439308,240.4871117305535,0.6860174709653956,1363.8206569647627,0.005,1.4706139822595963,3.7554083057497665
33,RC,normal,3.7886,2.565395979970054,2.326359856603018,1.0813446960301323,0.07160804020100503,0.09070351758793971,-0.4869024969636069,-0.9400519730513719,52.368421052631575,239865.95234907808,132.5563302587032,240.65165049762226,0.691873346199915,1316.251306809303,0.005,1.4768090499791866,3.70272202167219
34,RC,normal,3.737815,2.520906970941608,2.283595379616952,1.0677846685236223,0.07160804020100503,0.09070351758793971,-0.47314725539049507,-0.9545421621316699,52.368421052631575,231397.36569113014,132.81022876748844,240.80840899315004,0.6974607310626975,1270.9943912283986,0.005,1.4827262739504634,3.6510476667380574
35,RC,normal,3.687938,2.4778156877819555,2.2422847695855985,1.0543858851022354,0.07208542713567839,0.09070351758793971,-0.4601392698613054,-0.967862001180384,52.368421052631575,223349.95373451154,133.0526728806501,240.95784754499192,0.7027971899207739,1227.9141165236729,0.005,1.48838269859422,3.600394678024107
36,RC,normal,3.638982,2.436065865261022,2.2023616957948957,1.041162744620342,0.07208542713567839,0.09118090452261307,-0.4478202877741448,-0.9801328991543645,52.368421052631575,215697.9555215804,133.28439755455398,241.100456337475,0.7078986341710568,1186.8833799779864,0.005,1.493794585726477,3.5507666571743237
37,RC,normal,3.590954,2.3956032158633302,2.163762917150178,1.0281268434490365,0.07256281407035176,0.09118090452261307,-0.43613716286092946,-0.9914620283288853,52.368421052631575,208417.3272142271,133.50607234636516,241.2366837077605,0.7127799332817554,1147.782953570946,0.005,1.498976949196442,3.5021620501877138
38,RC,normal,3.543855,2.3563756156655673,2.126428537277366,1.0152870126007343,0.07256281407035176,0.09118090452261307,-0.4250426437090476,-1.001942382465081,52.368421052631575,201485.67726562486,133.71828242110647,241.36690009338412,0.7174545641159658,1110.5012084206564,0.005,1.503943164425857,3.4545749911846544
39,RC,normal,3.497683,2.3183332267425727,2.090301806747109,1.0026501418383187,0.07304020100502512,0.09118090452261307,-0.414493488827298,-1.0116564697491217,52.368421052631575,194882.16053457937,133.92158937504456,241.49146802139563,0.7219350874527882,1074.9337900437258,0.005,1.508705892515072,3.40799665737867
40,RC,normal,3.452434,2.281428290538712,2.0553289395374144,0.9902211849735378,0.07256281407035176,0.09118090452261307,-0.40445098683342484,-1.0206767619866668,52.368421052631575,188587.3506303707,134.11655841858382,241.61077715776938,0.7262330243702142,1040.983008974078,0.005,1.513277456195995,3.36241496595168
41,RC,normal,3.408099,2.245615064113485,2.0214588816371983,0.9780035818050458,0.07304020100502513,0.09118090452261307,-0.3948796724148524,-1.029067416490622,52.368421052631575,182583.13066069566,134.30364096486753,241.72510109695574,0.7303590993793266,1008.5574032346824,0.005,1.5176683904841168,3.317816185738329
42,RC,normal,3.364668,2.210849848989517,1.988643274979439,0.9659994718715018,0.07304020100502513,0.09118090452261307,-0.3857473318623329,-1.0368855773055945,52.368421052631575,176852.61541573418,134.48330672990411,241.83476702460123,0.7343231909368442,977.5714109553937,0.005,1.5218889702246594,3.2741842670855474
43,RC,normal,3.322129,2.177090916192433,1.9568363431431108,0.954209821539217,0.0735175879396985,0.09118090452261307,-0.3770248779261092,-1.044181624595025,52.368421052631575,171380.06336048347,134.65597025036956,241.940030105265,0.7381344139803842,947.9449714735214,0.005,1.5259486754968195,3.231501991168641
44,RC,normal,3.280468,2.1442984365112348,1.9259946533341983,0.9426348074162171,0.0735175879396985,0.09165829145728643,-0.3686852612263637,-1.0510010714058342,52.368421052631575,166150.7856321047,134.82200083502136,242.04111468360296,0.7418013287439092,919.6031569649053,0.005,1.5298560797989056,3.1897510976850443
45,RC,normal,3.239671,2.112434390025135,1.8960770817154102,0.9312737257941068,0.0735175879396985,0.09165829145728643,-0.360704104965535,-1.0573843184032845,52.368421052631575,161151.07514447704,134.98179181001754,242.13829557329925,0.7453318038183319,892.4758104321726,0.005,1.5336197021302294,3.1489124174622556
46,RC,normal,3.199721,2.0814624298302826,1.8670445738366885,0.9201252121868857,0.07399497487437186,0.09165829145728643,-0.3530590619359717,-1.0633676568312487,52.368421052631575,156368.1212446723,135.1356402570035,242.23174494232745,0.7487331314390341,866.4971693589966,0.005,1.5372465792048418,3.108966057042378
47,RC,normal,3.160603,2.0513479785288786,1.8388601656539143,0.9091874505214949,0.07399497487437186,0.09165829145728643,-0.34572923266527994,-1.068983622556012,52.368421052631575,151789.9687147549,135.28390953010495,242.3217377044084,0.7520122201874074,841.6057058029035,0.005,1.540744443693372,3.0698922191612823
